,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec, ANNUAL,FLOODS,avg_june,sub
84,KERALA,1985,61.2,6.1,29.3,66.6,254.2,828.7,388.9,315.3,117.6,204.0,74.9,44.0,67.3,350.1,1650.5,322.9,2390.5,0,276.23333333333335,574.5
85,KERALA,1986,5.6,18.7,11.2,63.1,126.7,597.9,324.8,340.3,235.4,165.5,194.7,9.5,24.3,201.0,1498.4,369.7,2093.2,0,199.29999999999998,471.2
86,KERALA,1987,0.6,0.8,4.3,57.2,108.3,572.6,221.0,396.6,157.0,272.1,216.0,131.1,1.4,169.8,1347.2,619.2,2137.6,0,190.86666666666667,464.3
87,KERALA,1988,0.8,17.5,38.1,177.6,157.2,511.3,502.8,379.8,451.7,68.5,67.0,31.1,18.3,372.9,1845.6,166.6,2403.5,0,170.43333333333334,354.1
88,KERALA,1989,10.3,0.0,30.1,141.5,169.4,657.5,450.7,285.5,271.1,308.0,92.9,5.6,10.3,341.0,1664.8,406.5,2422.7,0,219.16666666666666,488.1
89,KERALA,1990,14.9,4.8,18.0,41.8,488.5,528.6,635.4,370.8,103.3,323.2,158.8,5.2,19.7,548.3,1638.1,487.2,2693.1,0,176.20000000000002,40.10000000000002
90,KERALA,1991,10.9,4.4,33.2,97.0,113.4,1096.1,905.5,465.5,48.5,307.8,99.9,2.3,15.3,243.6,2515.6,410.0,3184.5,1,365.3666666666666,982.6999999999999
91,KERALA,1992,2.4,0.9,0.1,43.0,218.4,819.3,767.8,508.0,297.5,290.7,287.6,3.7,3.3,261.5,2392.6,582.0,3239.5,1,273.09999999999997,600.9
92,KERALA,1993,0.0,17.8,20.1,66.5,159.0,657.1,776.1,301.9,88.0,431.2,153.8,46.2,17.8,245.6,1823.1,631.2,2717.7,0,219.03333333333333,498.1
93,KERALA,1994,24.3,27.1,18.1,154.5,141.3,845.0,955.5,479.9,212.6,428.4,117.6,6.5,51.4,313.9,2493.0,552.5,3410.8,1,281.6666666666667,703.7
94,KERALA,1995,10.3,6.5,37.3,134.9,355.6,493.4,702.5,457.3,280.0,198.3,182.6,0.1,16.8,527.8,1933.2,381.0,2858.8,0,164.46666666666667,137.79999999999995
